user,item,rating
2013.0-10.0-13.0-26.0|25.0,SpreadMirage,-26.249811124478978
2013.0-10.0-13.0-26.0|25.0,SpreadPinnacle,-26.5
2013.0-10.0-13.0-26.0|25.0,SpreadSBG,-26.24990841563846
2013.0-10.0-13.0-26.0|25.0,SpreadSIA,-26.249775113703492
2013.0-10.0-13.0-26.0|25.0,SpreadSportsbet,-26
2013.0-10.0-13.0-26.0|25.0,SpreadStation,-26.248277901071972
2013.0-10.0-13.0-26.0|25.0,SpreadWestgate,-26.249753817386058
2013.0-10.0-13.0-2638.0|202.0,SpreadMirage,10
2013.0-10.0-13.0-2638.0|202.0,SpreadPinnacle,9.5
2013.0-10.0-13.0-2638.0|202.0,SpreadSBG,10
2013.0-10.0-13.0-2638.0|202.0,SpreadSIA,10
2013.0-10.0-13.0-2638.0|202.0,SpreadSportsbet,10
2013.0-10.0-13.0-2638.0|202.0,SpreadStation,10
2013.0-10.0-13.0-2638.0|202.0,SpreadWag,10
2013.0-10.0-13.0-2638.0|202.0,SpreadWestgate,10
2013.0-10.0-13.0-265.0|204.0,SpreadMirage,2.5
2013.0-10.0-13.0-265.0|204.0,SpreadPinnacle,2.5
2013.0-10.0-13.0-265.0|204.0,SpreadSBG,2.5
2013.0-10.0-13.0-265.0|204.0,SpreadSIA,2.5
2013.0-10.0-13.0-265.0|204.0,SpreadSportsbet,2.5
2013.0-10.0-13.0-265.0|204.0,SpreadStation,2.5
2013.0-10.0-13.0-265.0|204.0,SpreadWag,2.5
2013.0-10.0-13.0-265.0|204.0,SpreadWestgate,2.5
2013.0-10.0-13.0-328.0|68.0,SpreadMirage,5
2013.0-10.0-13.0-328.0|68.0,SpreadPinnacle,5
2013.0-10.0-13.0-328.0|68.0,SpreadSBG,5
2013.0-10.0-13.0-328.0|68.0,SpreadSIA,5.5
2013.0-10.0-13.0-328.0|68.0,SpreadSportsbet,5
2013.0-10.0-13.0-328.0|68.0,SpreadStation,5.5
2013.0-10.0-13.0-328.0|68.0,SpreadWag,5.160078649976313
2013.0-10.0-13.0-328.0|68.0,SpreadWestgate,5
2013.0-10.0-13.0-9.0|38.0,SpreadMirage,-28.5
2013.0-10.0-13.0-9.0|38.0,SpreadPinnacle,-28.5
2013.0-10.0-13.0-9.0|38.0,SpreadSBG,-28.499999999999996
2013.0-10.0-13.0-9.0|38.0,SpreadSIA,-28.5
2013.0-10.0-13.0-9.0|38.0,SpreadSportsbet,-28.5
2013.0-10.0-13.0-9.0|38.0,SpreadStation,-28.5
2013.0-10.0-13.0-9.0|38.0,SpreadWag,-28.5
