Season,Start,Week,Away,Home,APts,HPts,AFD,AFum,AFumL,APA,API,ARA,ARY,HFD,HFum,HFumL,HPA,HPI,HRA,HRY
2013,2013-09-21 16:00:00,0,MRSH,VT,21,29,22,2,1,41,2,46,133,23,2,0,34,2,53,201
2013,2013-09-21 16:00:00,0,FIU,LOU,0,72,2,2,1,9,0,34,3,20,0,0,27,0,29,210
2013,2013-09-21 16:00:00,0,SJSU,MINN,24,43,16,1,1,35,2,17,47,25,0,0,12,0,67,353
2013,2013-09-21 16:00:00,0,FAMU,OSU,0,76,2,2,1,16,1,23,50,34,0,0,34,1,46,388
2013,2013-09-21 16:00:00,0,TOL,CMU,38,17,23,3,1,23,0,43,252,23,3,2,24,2,41,156
2013,2013-09-21 16:00:00,0,UNC,GT,20,28,17,0,0,29,1,24,101,27,4,1,12,0,71,324
2013,2013-09-21 16:00:00,0,LT,KU,10,13,29,2,2,55,1,32,154,20,0,0,46,2,33,117
2013,2013-09-21 16:00:00,0,VAN,UMASS,24,7,23,1,1,28,1,39,166,17,4,1,33,0,31,99
2013,2013-09-21 16:21:00,0,UNT,UGA,21,45,13,0,0,41,1,25,7,26,1,1,31,1,43,191
2013,2013-09-21 16:30:00,0,PITT,DUKE,58,55,27,0,0,33,0,46,174,23,0,0,33,4,36,213
2013,2013-09-21 16:30:00,0,TULN,SYR,17,52,18,1,1,40,1,28,121,25,0,0,26,0,44,199
2013,2013-09-21 17:00:00,0,BALL,EMU,51,20,25,1,1,31,0,37,197,25,2,2,32,2,44,204
2013,2013-09-21 18:00:00,0,PEAY,OHIO,0,38,13,1,0,26,0,38,155,22,4,3,23,0,46,251
2013,2013-09-21 18:00:00,0,JVST,GAST,32,26,22,2,1,32,1,44,122,22,1,1,42,1,42,150
2013,2013-09-21 19:00:00,0,HOU,RICE,31,26,21,1,0,36,1,37,165,25,2,1,37,1,45,174
2013,2013-09-21 19:00:00,0,IDST,WASH,0,56,12,2,1,40,2,28,22,30,2,1,28,0,53,370
